DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,HDD65,CDD65,TOTSQFT,Y1_BTUEL,DOLLAREL,Y2_BTUNG,DOLLARNG,HDD50,CDD80,WSF,OA_LAT
2,4,10,26,2662,199,3136,17565,475,85895,818,62,26,.61,0
3,1,1,1,6233,505,528,7568,588,51148,739,2346,49,.48,3
4,2,3,7,6034,672,2023,34171,952,42230,446,2746,0,.55,4
5,1,1,1,5388,702,1912,9789,705,50020,853,2251,0,.61,4
6,2,4,10,8866,270,3485,21792,1050,92558,856,5219,3,.58,0
7,1,2,3,5213,749,2654,40333,2444,110393,1860,2133,25,.51,4
9,1,2,5,4826,1027,1635,31152,1240,21525,391,2367,35,.47,5
10,2,4,12,4687,1205,2390,25501,655,43665,733,2024,67,.47,6
11,4,10,26,830,1405,731,9383,373,37413,388,19,19,.39,1
12,1,2,4,4732,1034,2185,40285,2154,101988,1512,1886,40,.53,5
15,4,8,23,5789,1122,411,13754,342,39258,342,2572,85,.6,0
16,3,5,14,4801,946,4740,44424,1327,57708,785,2109,0,.46,4
18,1,2,3,4860,845,592,8452,425,71853,1049,1845,11,.6,5
19,4,8,22,6692,279,1107,23464,679,75953,614,3137,1,.59,0
20,2,4,10,8059,471,3863,42640,1429,81283,765,4368,20,.51,1
21,4,10,26,1135,1578,3168,41626,2234,81898,851,0,137,.39,0
22,2,3,7,6225,673,1584,31346,1090,68675,782,3112,60,.56,3
24,3,5,17,454,3748,3834,15057,551,24498,523,1,326,.37,24
25,2,3,9,8510,238,4455,64968,2385,125153,1259,4841,0,.57,1
26,1,1,2,6486,550,995,10663,549,142270,2060,3227,0,.56,3
28,4,10,26,871,1364,1090,7404,50,32595,272,28,60,.39,0
34,1,1,1,5563,655,2013,10993,768,42435,766,2254,9,.59,3
38,2,4,12,5456,872,3120,25368,922,92660,1045,2186,57,.53,5
41,2,4,11,7164,461,1800,34608,903,52993,622,3479,0,.68,1
42,4,10,26,2527,1833,2119,51927,2738,55863,585,362,112,.45,0
43,3,5,15,3071,1645,2831,43107,1165,52993,757,828,52,.39,7
44,4,8,22,5989,466,527,16439,555,40180,413,2656,27,.6,0
45,2,3,9,7458,388,3744,28760,1096,103935,1111,3800,27,.58,2
46,4,10,26,1228,1250,1131,9690,367,39258,412,3,19,.37,3
47,3,5,14,4537,904,834,14907,345,37823,544,1961,20,.41,5
49,3,5,15,3158,1685,1820,49532,1663,80463,1581,785,28,.46,8
50,1,2,3,4740,1035,1188,5575,280,3588,52,1935,58,.59,5
51,2,4,11,4660,1352,846,5364,249,33620,472,2026,78,.66,2
53,1,2,3,4755,877,806,12573,900,410,142,1914,0,.62,5
55,4,9,25,2750,2069,1372,24399,943,46945,446,468,283,.48,1
56,3,7,21,2409,2322,3841,68510,2565,46330,438,557,294,.53,7
57,3,7,21,2472,2264,2800,50047,2046,28290,303,559,297,.52,7
59,2,3,7,5734,698,2304,15245,560,52480,789,2724,40,.59,2
60,1,1,1,6233,514,2116,145648,8112,2563,36,3029,0,.49,3
64,4,8,23,5829,905,1518,11277,297,79950,652,2682,6,.57,0
65,4,10,26,1131,1203,1155,29111,1541,50635,466,0,45,.39,3
67,4,10,26,2824,115,693,14948,588,10250,102,125,0,.54,1
68,2,4,10,9328,357,1069,10475,374,24293,200,5510,7,.7,0
69,4,9,24,1077,3731,947,32066,1196,22755,392,18,1046,.44,0
70,3,7,20,3407,1772,1200,55227,1612,70213,1060,1052,119,.46,11
72,1,2,3,4589,930,517,14433,726,6355,92,1896,2,.62,4
73,3,7,20,2803,1929,2092,33192,1210,46535,726,831,180,.41,11
74,1,2,3,4796,865,452,7022,669,78310,1142,1882,19,.6,4
75,3,5,15,3131,1674,4620,92353,2928,46023,490,853,19,.46,7
76,2,3,7,6185,665,3604,38303,995,123205,1392,2797,8,.54,2
78,1,1,2,5928,630,694,10997,537,129663,1878,2705,48,.55,3
79,2,3,8,5852,657,2626,23345,472,105883,1096,2900,33,.53,2
