,R-Square,const,CDD65,HDD65,WSF,DOLLARNG,TOTSQFT,HDD50,DOLLAREL,CDD80,OA_LAT
NWEL,0.769135003639736,3400.7369238972415,0.0,0.0,-8300.101657354859,0.0,2.224814809837269,1.111621238224656,20.68631278940174,4.839417950607485,325.6617461646386
10EL,0.7887924147898842,-130.1199357189853,0.0,0.0,9842.164144290233,0.0,2.0543394634592578,2.6150382559611662,14.657637865412848,10.091224905146323,-240.42781709523285
1EL,0.9051368372072954,-9975.126142207011,0.0,0.0,7863.331124060573,0.0,0.4015179785562428,3.067484332812395,18.81633958580034,0.0,-874.9691945906692
3EL,0.9340051408147496,14531.376574662303,0.0,0.0,-21417.719079160495,0.0,0.0,-1.4221097815461927,31.561796920886525,0.0,0.0
4EL,0.8468324905280784,-7241.687090781199,0.0,0.0,0.0,0.0,0.5626442286939815,0.0,37.0747375443233,32.88009914673276,795.3085199378178
2EL,0.8621161490773408,21495.8325327755,0.0,0.0,-26762.760406971312,0.0,0.6540242026645313,0.0,18.13391326652657,0.0,-1564.2663895242472
8EL,0.9523182231164022,-17101.005372093598,5.381956302929744,1.530669033208962,0.0,0.0,0.0,1.4285622773624143,35.26018891870025,0.0,0.0
5EL,0.9044908508938041,20314.924381981236,0.0,0.0,-38890.00233977085,0.0,1.0546059845771838,0.0,26.54683430539181,-19.565622491937773,0.0
9EL,0.9353282634597535,1831.8214343786713,0.0,0.0,0.0,0.0,0.0,0.0,28.11859205109649,-1.5809338288193264,0.0
7EL,0.8719336980608507,6041.812963741628,0.0,0.0,-14277.059987926168,0.0,1.334725084728909,9.84162689016126,23.497863241673855,0.0,0.0
6EL,0.9296034259694756,-47249.496623994586,0.0,0.0,81222.87737701472,0.0,1.1624692078201704,8.05057704830756,34.80080515786076,0.0,0.0
NWNG,0.8712875894686627,2541.235769822808,0.0,0.0,0.0,72.38712474447402,2.7567849545443357,2.6566087569348262,0.0,0.0,-996.4255357316578
10NG,0.9408777259606843,9950.922727102194,2.733983482779279,0.0,-21737.344759852567,90.44481348576215,0.0,0.0,0.0,0.0,-1418.0917499580928
1NG,0.9654715558777666,-18878.3747019842,0.0,0.0,0.0,73.92220842000387,0.0,4.517973369602408,0.0,0.0,0.0
3NG,0.8673055050028025,-61673.18985007198,0.0,0.0,57864.00980113167,94.2960056303167,1.747436037505273,5.588875927824916,0.0,0.0,3669.182574975466
4NG,0.9162583988572803,-29281.729578865015,0.0,0.0,23962.857268089072,102.85080300052464,1.2032906694670382,4.690897876659299,0.0,0.0,-2628.5271501196676
2NG,0.9706851635460496,9389.058202909775,-4.5885331240595715,0.0,0.0,68.2141596039901,0.672183346252768,0.0,0.0,0.0,-1860.4800004432461
8NG,0.9578363680593949,-11509.159950562087,0.0,0.0,0.0,132.92320431506795,0.0,0.0,0.0,0.0,0.0
5NG,0.9184473423536942,7689.930055080446,0.0,0.0,0.0,74.58003203944465,0.0,-4.513260936923821,0.0,-39.27140055506031,0.0
9NG,0.8616657446920059,-25215.894298489962,0.0,0.0,56535.16851423251,81.72930647996728,0.0,4.992908892727343,0.0,-9.329350373663512,0.0
7NG,0.9386372613616331,-9716.69039421462,0.0,0.0,18929.290220970823,85.00869324437012,0.8312947040112573,0.0,0.0,0.0,-309.76277329769687
6NG,0.8789899159284906,-22824.47968684291,0.0,0.0,0.0,77.06604102165787,0.0,20.46917569627712,0.0,0.0,0.0
